1;industrial_complex;2948.00;9.88;1355.00;3.36;0
1;industrial_complex;2950.00;11.70;1369.00;6.03;0
1;industrial_complex;2950.00;11.70;1369.00;1.30;0
1;industrial_complex;2947.00;13.68;1367.00;5.42;0
1;industrial_complex;2948.00;13.60;1368.00;0.35;0
1;industrial_complex;2944.00;9.78;1361.00;4.47;0
1;arms_factory;2944.00;9.78;1361.00;6.03;0
1;arms_factory;2944.00;10.50;1364.00;2.41;0
1;arms_factory;2947.00;9.75;1356.00;5.08;0
1;arms_factory;2947.00;9.75;1356.00;2.92;0
1;arms_factory;2948.00;11.88;1370.00;3.02;0
1;arms_factory;2948.00;11.88;1370.00;0.86;0
1;dockyard;2941.00;9.50;1367.00;-1.19;0
1;air_base;2948.00;11.18;1360.00;0.26;0
1;naval_base;2943.00;9.90;1371.00;-2.60;5555
1;naval_base;2953.00;9.50;1361.00;0.98;5579
1;naval_base;2952.00;10.15;1360.00;-0.79;5579
1;bunker;2951.00;10.23;1356.00;3.53;0
1;bunker;2951.00;11.57;1368.00;1.37;0
1;bunker;2946.00;11.63;1364.00;4.03;0
1;coastal_bunker;2944.00;9.53;1372.00;-2.60;0
1;coastal_bunker;2951.00;9.63;1373.00;-3.00;0
1;coastal_bunker;2950.00;9.50;1352.00;-0.79;0
1;anti_air_building;2945.00;11.00;1364.00;2.48;0
1;anti_air_building;2945.00;11.00;1364.00;5.15;0
1;anti_air_building;2947.00;9.75;1356.00;1.88;0
1;radar_station;2948.00;13.38;1365.00;4.55;0
1;rocket_site;2949.00;11.53;1370.00;0.92;0
1;nuclear_reactor;2944.00;11.25;1368.00;3.59;0
1;synthetic_refinery;2944.00;11.23;1369.00;5.15;0
2;industrial_complex;2996.00;10.40;1369.00;1.30;0
2;industrial_complex;3003.00;9.95;1362.00;5.42;0
2;industrial_complex;3019.00;10.35;1351.00;0.35;0
2;industrial_complex;2997.00;10.45;1369.00;4.47;0
2;industrial_complex;3009.00;9.70;1352.00;6.03;0
2;industrial_complex;3019.00;10.35;1351.00;2.41;0
2;arms_factory;2998.00;10.40;1369.00;5.08;0
2;arms_factory;3010.00;9.75;1352.00;2.92;0
2;arms_factory;3020.00;10.28;1351.00;3.02;0
2;arms_factory;2996.00;9.73;1363.00;0.86;0
2;arms_factory;3011.00;9.93;1352.00;4.98;0
2;arms_factory;3016.00;10.85;1354.00;0.26;0
2;dockyard;3008.00;9.50;1350.00;-0.90;0
2;air_base;3012.00;10.15;1352.00;5.59;0
2;naval_base;2989.00;9.50;1365.00;-0.67;5579
2;naval_base;2993.00;9.50;1361.00;-0.93;5656
2;naval_base;3005.00;9.50;1351.00;-0.46;5656
2;naval_base;3009.00;9.50;1349.00;-0.90;5656
2;naval_base;3021.00;9.50;1347.00;0.00;1452
2;bunker;2996.00;10.30;1368.00;1.97;0
2;bunker;3007.00;10.80;1364.00;6.10;0
2;bunker;2995.00;9.68;1362.00;2.48;0
2;bunker;3008.00;9.80;1354.00;5.15;0
